Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class,Geography
AEXK,AMUNDI MSCI EUROPE EX UK,AMUNDI INDEX SOLUTIONS ,SP,AEXK.L,Global Equity,UK
CEUR,AMUNDI MSCI EUROPE,AMUNDI INDEX SOLUTIONS ,SP,CEUR.L,Global Equity,Europe
CN1,AMUNDI MSCI NORDIC,AMUNDI INDEX SOLUTIONS ,SP,CN1.L,Global Equity,Europe
CSWU,AMUNDI MSCI SWITZERLAND,AMUNDI INDEX SOLUTIONS ,SP,CSWU.L,Global Equity,Global
RS2U,AMUNDI RUSSELL 2000,AMUNDI INDEX SOLUTIONS ,SP,RS2U.L,Global Equity,US
500U,AMUNDI S&P 500,AMUNDI INDEX SOLUTIONS ,SP,500U.L,Global Equity,US
JPHG,AMUNDI NIK400 DH GBP,AMUNDI INDEX SOLUTIONS ,SP,JPHG.L,Global Equity,UK
JPHU,AMUNDI NIK400 DH USD,AMUNDI INDEX SOLUTIONS ,SP,JPHU.L,Global Equity,US
JPNY,AMUNDI JPX-NIKKEI 400,AMUNDI INDEX SOLUTIONS ,SP,JPNY.L,Global Equity,Japan
AASU,AMUNDI MSCI EM ASIA,AMUNDI INDEX SOLUTIONS ,SP,AASU.L,Global Equity,Asia Pacific
LCAL,LYXOR MSCI EM ASIA UCITS ETF,MULTI UNITS LUXEMBOURG,SP,LCAL.L,Global Equity,Asia Pacific
ANXU,AMUNDI NASDAQ-100,AMUNDI INDEX SOLUTIONS ,SP,ANXU.L,Global Equity,US
MIVO,AMUNDI MSCI EUROPE MIN VOL FACTOR,AMUNDI INDEX SOLUTIONS ,SP,MIVO.L,Global Equity,Europe
CU2U,AMUNDI MSCI USA,AMUNDI INDEX SOLUTIONS ,SP,CU2U.L,Global Equity,US
CI2U,AMUNDI MSCI INDIA,AMUNDI INDEX SOLUTIONS ,SP,CI2U.L,Global Equity,Asia Pacific
CW8U,AMUNDI MSCI WORLD,AMUNDI INDEX SOLUTIONS ,SP,CW8U.L,Global Equity,Global
CE9U,AMUNDI MSCI EASTERN EUROPE EX RUSSIA,AMUNDI INDEX SOLUTIONS ,SP,CE9U.L,Global Equity,Europe
